fname_abbrev,crf_title,description
RMAT,1RM Assessment Test,"The 1RM Assessment Test includes measures of maximal muscular strength collected through standardized protocols. Participants perform resistance exercises to determine their one-repetition maximum load. Data capture details such as weight lifted, repetitions, and participant identifiers."
FREC,24-Hour Food Record,"Dietary intake records from participants over a 24-hour period are collected using detailed food logs. Data include food types, portion sizes, and nutritional composition. Participants self-report their dietary consumption, which is reviewed and standardized by study personnel."
ACTM,Activity Monitor Record,"Activity data are collected from wearable monitors worn by participants during the study. Devices record step counts, physical activity levels, and energy expenditure. Data capture spans multiple time points to assess participants' daily activity and adherence to protocols."
ACEE,Acute Endurance Exercise Test,"Measures from controlled endurance exercises are collected during acute testing sessions. Data include real-time recordings of heart rate, oxygen consumption, and workload during aerobic activities like cycling. Testing is conducted in laboratory environments under standardized conditions."
ACRE,Acute Resistance Exercise Test,"Resistance-based exercises are conducted in controlled settings to measure acute metabolic and hormonal responses. Parameters such as repetitions, intensity, and load are carefully recorded. The dataset supports research into the short-term physiological impact of resistance training protocols."
ACPR,Adipose Collection: Pre-Exercise/Rest 1 (Timepoint 1),"Baseline fat tissue samples are collected prior to exercise or rest. Samples are processed for molecular analysis, focusing on markers such as inflammation and energy metabolism. Tissue is collected using minimally invasive procedures under sterile conditions."
AC24,Adipose Collection:  24 Hour Post Exercise/24 Hour Rest 3  (Timepoint 2),Fat tissue samples taken 24 hours after exercise highlight recovery-related changes. Samples are processed and stored for later analysis of cellular and metabolic markers. Tissue collection follows a standardized timeline across all sites.
AC04,Adipose Collection: 4 Hour Post Exercise/4 Hour Rest 3 (Timepoint 2),"Tissue samples collected four hours after exercise or rest provide data on short-term post-exercise responses. Data capture includes sample handling, participant identifiers, and collection time. Collection is performed using consistent protocols to maintain sample integrity."
AC45,Adipose Collection: 45 Min Post Exercise/45 Min Rest 3 (Timepoint 2),"Fat tissue is collected 45 minutes after exercise or rest, focusing on early post-exercise changes. Collection involves minimally invasive techniques performed by trained staff. Samples are immediately processed and stored in controlled environments."
AEEV,Adverse Event Log,"Adverse events encountered by participants during the trial are recorded systematically. Entries include event descriptions, timing, and any interventions taken. Data collection ensures accurate tracking of participant safety throughout the study."
PCAB,Biospecimen Participant Collection Assessment - 24 Hour,"Blood and urine specimens are collected at 24-hour intervals according to the study timeline. Samples are processed on-site and shipped to central laboratories for storage. Data include participant IDs, collection times, and specimen types."
PCAA,Biospecimen Participant Collection Assessment,"Biospecimen collection data summarize timing, type, and handling procedures for blood, urine, and tissue samples. Specimens are labeled and stored using standardized protocols to ensure consistency across trial sites. Data capture focuses on maintaining detailed records of all biospecimen activities."
BPHR,Blood Pressure & Heart Rate,"Blood pressure and heart rate are measured at multiple time points before and after exercise. Data collection involves the use of automated or manual sphygmomanometers and heart rate monitors. Measurements include systolic and diastolic pressure, pulse rate, and timestamps."
BCPR,Blood Specimen Collection: Pre-Exercise/ Rest 1 (Timepoint 1),Blood specimens are collected before exercise or rest sessions to capture baseline biomarkers. Collection procedures include venipuncture performed under standardized conditions. Samples are labeled and processed immediately to ensure data integrity.
BC20,Blood Specimen Collection: 20 Min Exercise/20 Min Rest 2 (Timepoint 2),Blood samples collected 20 minutes after exercise provide insights into immediate physiological changes. Collection procedures are timed precisely to ensure accuracy. Samples include detailed records of participant identifiers and collection times.
BC40,Blood Specimen Collection: 40 Min Exercise/40 Min Rest 2 (Timepoint 3),"Blood is drawn 40 minutes after exercise or rest, following specific timing protocols. Sample handling includes labeling, processing, and storage for downstream analyses. Collection is performed by trained personnel in controlled settings."
BC10,Blood Specimen Collection: 10 Min Post Exercise/10 Min Rest 3 (Timepoint 4),Blood samples collected 10 minutes post-exercise capture short-term physiological responses. Each collection adheres to strict protocols for timing and sample processing. This data helps document immediate changes in blood markers.
BC30,Blood Specimen Collection: 30 Min Post Exercise/30 Min Rest 3 (Timepoint 5),Blood is collected 30 minutes after exercise or rest to examine short-term physiological responses. The samples are processed and stored under standardized conditions. Trained staff perform collections to maintain sample consistency across study sites.
BC35,Blood Specimen Collection: 3.5 Hour Post Exercise/3.5 Hour Rest 3 (Timepoint 6),Blood samples are collected 3.5 hours post-exercise or rest to monitor intermediate physiological recovery. All samples are processed promptly and labeled for storage. Collection protocols are standardized to maintain data quality.
BC24,Blood Specimen Collection: 24 Hour Post Exercise/24 Hour Rest 3 (Timepoint 7),Blood is drawn 24 hours after exercise or rest to capture recovery-phase biomarkers. The samples are processed under sterile conditions and stored for further use. Collection follows strict timing and procedural guidelines to ensure consistency.
CPET,Cardiopulmonary Exercise Test,"The Cardiopulmonary Exercise Test involves structured aerobic exercises with continuous monitoring of heart rate, oxygen uptake, and ventilation. Tests are conducted in controlled laboratory settings with standardized protocols. Data include participant identifiers and real-time physiological measures during exercise."
CESD,CES-D,The CES-D dataset includes responses to a standardized depression scale questionnaire. Participants provide self-reported data on mood and psychological well-being. Questionnaires are administered at multiple time points during the study.
CADC,Control Adherence Call ,Control Adherence Calls capture information on participants' compliance with study protocols. Data include participant-reported adherence to control conditions and any issues encountered. Calls are scheduled regularly to ensure accurate monitoring of compliance.
COMO,Control Monitoring Visit,Control Monitoring Visits involve routine check-ins to assess participants adherence to non-exercise control protocols. Data include physical measurements and self-reported adherence. Visits are conducted at study sites under standardized conditions.
CORR,Control Rest Record,Records of participants' rest periods during the control phase include detailed logs of activities and compliance. Data capture focuses on ensuring participants remain inactive during the rest period. Records are reviewed by study personnel for consistency.
DEMO,Demographics,"The demographics dataset includes participant information such as age, sex, ethnicity, and other baseline characteristics. Data are collected through self-reports and verified by study staff. These records serve as the foundation for participant classification and subgroup analysis."
DHQ3R,DHQ3 Retest,The DHQ3 Retest captures dietary habits and food intake patterns through a second administration of the Diet History Questionnaire. Data collection focuses on verifying dietary consistency over time. Participants complete the questionnaire under study staff guidance.
DHQ3,DHQ3,"The DHQ3 dataset contains self-reported dietary intake data collected using the Diet History Questionnaire. Information includes food types, frequency, and portion sizes. Participants complete the questionnaire during designated visits as part of dietary assessment."
DXAS,DXA Scan Worksheet,"DXA Scan Worksheets include data on participant preparation and technical details of the DXA scan procedure. Information covers positioning, calibration, and any deviations during the scan. These records ensure standardized documentation of body composition assessments."
EETL,Endurance Exercise Tracking Log,"Endurance Exercise Tracking Logs record detailed information on participants' endurance exercise sessions. Data include duration, intensity, and session completion status. Logs are maintained to monitor adherence to the prescribed endurance protocols."
FAEA,Endurance Familiarization - Session 1,"Familiarization sessions introduce participants to endurance exercise protocols. Session 1 focuses on training participants in proper technique and equipment use. Data include session duration, participant feedback, and any modifications to the protocol."
FAEB,Endurance Familiarization - Session 2,"The second familiarization session ensures participants are comfortable with endurance exercise protocols. Data capture includes session adjustments, perceived exertion, and readiness for subsequent testing. This session builds participants' confidence and consistency in performing endurance tasks."
EVAS,Event Ascertainment,"Event ascertainment records track adverse or medically significant events that occur during the trial. Data include event type, timing, and required follow-up actions. These records ensure comprehensive tracking of all notable occurrences during the study."
