object	provenance	pipeline_step	verdict	note
ADIPOSE_EPIGEN_METHYLCAP_SEQ_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats; epigen DA read from the step-09 freeze, restricted to adj_p_value < 0.05
ADIPOSE_METAB_DA	regenerated	10_build_data	SCHEMA-CHANGE	built by 10_build_da_assemble; 12 metab platforms stacked, platform in its own column
ADIPOSE_METAB_T_ACOA_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_METAB_T_AMINES_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_METAB_T_KA_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_METAB_T_NUC_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_METAB_T_OXYLIPNEG_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_METAB_T_TCA_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_METAB_U_HILICPOS_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_METAB_U_IONPNEG_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_METAB_U_LRPNEG_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_METAB_U_LRPPOS_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_METAB_U_RPNEG_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_METAB_U_RPPOS_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_PROT_PH_DA	regenerated	10_build_data	SCHEMA-CHANGE	built by 10_build_da_assemble from the step-09 DA freeze
ADIPOSE_PROT_PH_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_PROT_PR_DA	regenerated	10_build_data	SCHEMA-CHANGE	built by 10_build_da_assemble from the step-09 DA freeze
ADIPOSE_PROT_PR_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_TRANSCRIPT_RNA_SEQ_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
ADIPOSE_TRNSCRPT_DA	regenerated	10_build_data	SCHEMA-CHANGE	built by 10_build_da_assemble from the step-09 DA freeze
assay_codes	carried-forward		CARRIED-FORWARD	no manifest node; re-export of MotrpacBicQC::assay_codes
BLOOD_CLINICAL_CHEMISTRY_SUM_STATS	carried-forward		CARRIED-FORWARD	
BLOOD_EPIGEN_METHYLCAP_SEQ_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats; epigen DA read from the step-09 freeze, restricted to adj_p_value < 0.05
BLOOD_METAB_DA	regenerated	10_build_data	SCHEMA-CHANGE	built by 10_build_da_assemble; 10 metab platforms stacked (metab-t-clinical + metab-t-imm-crt excluded)
BLOOD_METAB_T_AMINES_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_METAB_T_CLINICAL_DA	regenerated	10_build_data	ADDED	built by 10_build_da_assemble; kept split from BLOOD_PROT_CLINICAL_DA (package fuses both into CLIN_CHEMISTRY_DA)
BLOOD_METAB_T_CLINICAL_SUM_STATS	regenerated	10_build_data	ADDED	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_METAB_T_CONV_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_METAB_T_OXYLIPNEG_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_METAB_T_TCA_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_METAB_U_HILICPOS_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_METAB_U_IONPNEG_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_METAB_U_LRPNEG_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_METAB_U_LRPPOS_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_METAB_U_RPNEG_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_METAB_U_RPPOS_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_PROT_CLINICAL_DA	regenerated	10_build_data	ADDED	built by 10_build_da_assemble; kept split from BLOOD_METAB_T_CLINICAL_DA (package fuses both into CLIN_CHEMISTRY_DA)
BLOOD_PROT_CLINICAL_SUM_STATS	regenerated	10_build_data	ADDED	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_PROT_OL_DA	regenerated	10_build_data	SCHEMA-CHANGE	built by 10_build_da_assemble from the step-09 DA freeze
BLOOD_PROT_OL_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_TRANSCRIPT_RNA_SEQ_SUM_STATS	regenerated	10_build_data	VALUES-DIFFER	built by 11_build_sum_stats from the step-08 *_QC objects, filtered to the step-10 DA features
BLOOD_TRNSCRPT_DA	regenerated	10_build_data	SCHEMA-CHANGE	built by 10_build_da_assemble from the step-09 DA freeze
